GPS,PlusPoint
"32.20082600000005,-111.405462",854C6H2V+8R
"32.20082600000005,-112.20546200000001",85496Q2V+8R
"32.20082600000005,-111.205462",854C6Q2V+8R
"32.20082600000005,-112.40546200000001",85496H2V+8R
"32.20082600000005,-111.005462",854C6X2V+8R
"32.20082600000005,-112.60546200000002",8549692V+8R
"32.20082600000005,-110.80546199999999",854F652V+8R
"32.20082600000005,-112.80546200000002",8549652V+8R
"32.20082600000005,-110.60546199999999",854F692V+8R
"32.20082600000005,-113.00546200000002",85486X2V+8R
