GPS,PlusPoint,Avail
"39.49937799999997,-111.606927",85FCF9XV+Q6,nope
"39.49937799999997,-111.106927",85FCFVXV+Q6,nope
"39.49937799999997,-110.606927",85FFF9XV+Q6,85FFF9XV+Q6
"39.49937799999997,-110.106927",85FFFVXV+Q6,85FFFVXV+Q6
"39.49937799999997,-109.606927",85FGF9XV+Q6,85FGF9XV+Q6
"39.49937799999997,-109.106927",85FGFVXV+Q6,nope
"39.49937799999997,-108.606927",85FHF9XV+Q6,nope
"39.83237799999997,-118.106927",85F3RVJV+X6,85F3RVJV+X6
"39.83237799999997,-117.606927",85F4R9JV+X6,85F4R9JV+X6
"39.83237799999997,-117.106927",85F4RVJV+X6,85F4RVJV+X6
"39.83237799999997,-116.606927",85F5R9JV+X6,nope
"39.83237799999997,-116.106927",85F5RVJV+X6,nope
"39.83237799999997,-115.606927",85F6R9JV+X6,85F6R9JV+X6
"39.83237799999997,-115.106927",85F6RVJV+X6,nope
"39.83237799999997,-114.606927",85F7R9JV+X6,nope
"39.83237799999997,-114.106927",85F7RVJV+X6,nope
"39.83237799999997,-113.606927",85F8R9JV+X6,85F8R9JV+X6
"39.83237799999997,-113.106927",85F8RVJV+X6,85F8RVJV+X6
"39.83237799999997,-112.606927",85F9R9JV+X6,nope
"39.83237799999997,-112.106927",85F9RVJV+X6,85F9RVJV+X6
"39.83237799999997,-111.606927",85FCR9JV+X6,nope
"39.83237799999997,-111.106927",85FCRVJV+X6,nope
"39.83237799999997,-110.606927",85FFR9JV+X6,nope
"39.83237799999997,-110.106927",85FFRVJV+X6,85FFRVJV+X6
"39.83237799999997,-109.606927",85FGR9JV+X6,85FGR9JV+X6
"39.83237799999997,-109.106927",85FGRVJV+X6,nope
"39.83237799999997,-108.606927",85FHR9JV+X6,nope
"40.16537799999997,-118.106927",85G35V8V+56,nope
"40.16537799999997,-117.606927",85G4598V+56,nope
"40.16537799999997,-117.106927",85G45V8V+56,nope
"40.16537799999997,-116.606927",85G5598V+56,nope
"40.16537799999997,-116.106927",85G55V8V+56,nope
"40.16537799999997,-115.606927",85G6598V+56,nope
"40.16537799999997,-115.106927",85G65V8V+56,nope
"40.16537799999997,-114.606927",85G7598V+56,nope
"40.16537799999997,-114.106927",85G75V8V+56,85G75V8V+56
"40.16537799999997,-113.606927",85G8598V+56,85G8598V+56
"40.16537799999997,-113.106927",85G85V8V+56,85G85V8V+56
"40.16537799999997,-112.606927",85G9598V+56,nope
"40.16537799999997,-112.106927",85G95V8V+56,nope
"40.16537799999997,-111.606927",85GC598V+56,nope
"40.16537799999997,-111.106927",85GC5V8V+56,nope
"40.16537799999997,-110.606927",85GF598V+56,nope
"40.16537799999997,-110.106927",85GF5V8V+56,nope
"40.16537799999997,-109.606927",85GG598V+56,nope
"40.16537799999997,-109.106927",85GG5V8V+56,nope
"40.16537799999997,-108.606927",85GH598V+56,85GH598V+56
"40.49837799999997,-118.106927",85G3FVXV+96,nope
"40.49837799999997,-117.606927",85G4F9XV+96,nope
"40.49837799999997,-117.106927",85G4FVXV+96,nope
"40.49837799999997,-116.606927",85G5F9XV+96,nope
"40.49837799999997,-116.106927",85G5FVXV+96,nope
"40.49837799999997,-115.606927",85G6F9XV+96,nope
"40.49837799999997,-115.106927",85G6FVXV+96,nope
"40.49837799999997,-114.606927",85G7F9XV+96,85G7F9XV+96
