GPS,PlusPoint,Avail
"40.66350399999998,-104.55088",85GQMC7X+CJ,Nada
"40.99650399999998,-114.05088",85G7XWWX+JJ,Nada
"40.99650399999998,-113.55088",85G8XCWX+JJ,Nada
"40.99650399999998,-113.05088",85G8XWWX+JJ,Nada
"40.99650399999998,-112.55088",85G9XCWX+JJ,Nada
"40.99650399999998,-112.05088",85G9XWWX+JJ,Nada
"40.99650399999998,-111.55088",85GCXCWX+JJ,Nada
"40.99650399999998,-111.05088",85GCXWWX+JJ,Nada
"40.99650399999998,-110.55088",85GFXCWX+JJ,Nada
"40.99650399999998,-110.05088",85GFXWWX+JJ,Nada
"40.99650399999998,-109.55088",85GGXCWX+JJ,Nada
"40.99650399999998,-109.05088",85GGXWWX+JJ,Nada
"40.99650399999998,-108.55088",85GHXCWX+JJ,Nada
"40.99650399999998,-108.05088",85GHXWWX+JJ,Nada
"40.99650399999998,-107.55088",85GJXCWX+JJ,Nada
"40.99650399999998,-107.05088",85GJXWWX+JJ,Nada
"40.99650399999998,-106.55088",85GMXCWX+JJ,Nada
"40.99650399999998,-106.05088",85GMXWWX+JJ,Nada
"40.99650399999998,-105.55088",85GPXCWX+JJ,Nada
"40.99650399999998,-105.05088",85GPXWWX+JJ,Nada
"40.99650399999998,-104.55088",85GQXCWX+JJ,Nada
"41.32950399999998,-114.05088",85H78WHX+RJ,Nada
"41.32950399999998,-113.55088",85H88CHX+RJ,Nada
"41.32950399999998,-113.05088",85H88WHX+RJ,Nada
"41.32950399999998,-112.55088",85H98CHX+RJ,Nada
"41.32950399999998,-112.05088",85H98WHX+RJ,Nada
"41.32950399999998,-111.55088",85HC8CHX+RJ,Nada
"41.32950399999998,-111.05088",85HC8WHX+RJ,Nada
"41.32950399999998,-110.55088",85HF8CHX+RJ,Nada
"41.32950399999998,-110.05088",85HF8WHX+RJ,Nada
"41.32950399999998,-109.55088",85HG8CHX+RJ,Nada
"41.32950399999998,-109.05088",85HG8WHX+RJ,Nada
"41.32950399999998,-108.55088",85HH8CHX+RJ,Nada
"41.32950399999998,-108.05088",85HH8WHX+RJ,Nada
"41.32950399999998,-107.55088",85HJ8CHX+RJ,Nada
"41.32950399999998,-107.05088",85HJ8WHX+RJ,Nada
"41.32950399999998,-106.55088",85HM8CHX+RJ,Nada
"41.32950399999998,-106.05088",85HM8WHX+RJ,Nada
"41.32950399999998,-105.55088",85HP8CHX+RJ,Nada
"41.32950399999998,-105.05088",85HP8WHX+RJ,Nada
"41.32950399999998,-104.55088",85HQ8CHX+RJ,Nada
"41.66250399999998,-114.05088",85H7MW7X+2J,Nada
"41.66250399999998,-113.55088",85H8MC7X+2J,Nada
"41.66250399999998,-113.05088",85H8MW7X+2J,Nada
"41.66250399999998,-112.55088",85H9MC7X+2J,Nada
"41.66250399999998,-112.05088",85H9MW7X+2J,Nada
"41.66250399999998,-111.55088",85HCMC7X+2J,Nada
"41.66250399999998,-111.05088",85HCMW7X+2J,Nada
"41.66250399999998,-110.55088",85HFMC7X+2J,Nada
"41.66250399999998,-110.05088",85HFMW7X+2J,Nada
"41.66250399999998,-109.55088",85HGMC7X+2J,Nada
"41.66250399999998,-109.05088",85HGMW7X+2J,Nada
"41.66250399999998,-108.55088",85HHMC7X+2J,Nada
"41.66250399999998,-108.05088",85HHMW7X+2J,Nada
"41.66250399999998,-107.55088",85HJMC7X+2J,Nada
"41.66250399999998,-107.05088",85HJMW7X+2J,Nada
"41.66250399999998,-106.55088",85HMMC7X+2J,Nada
"41.66250399999998,-106.05088",85HMMW7X+2J,Nada
"41.66250399999998,-105.55088",85HPMC7X+2J,Nada
"41.66250399999998,-105.05088",85HPMW7X+2J,Nada
"41.66250399999998,-104.55088",85HQMC7X+2J,Nada
"41.995503999999976,-114.05088",85H7XWWX+6J,Nada
"41.995503999999976,-113.55088",85H8XCWX+6J,Nada
"41.995503999999976,-113.05088",85H8XWWX+6J,Nada
"41.995503999999976,-112.55088",85H9XCWX+6J,Nada
"41.995503999999976,-112.05088",85H9XWWX+6J,Nada
"41.995503999999976,-111.55088",85HCXCWX+6J,Nada
"41.995503999999976,-111.05088",85HCXWWX+6J,Nada
"41.995503999999976,-110.55088",85HFXCWX+6J,Nada
"41.995503999999976,-110.05088",85HFXWWX+6J,Nada
"41.995503999999976,-109.55088",85HGXCWX+6J,Nada
"41.995503999999976,-109.05088",85HGXWWX+6J,Nada
"41.995503999999976,-108.55088",85HHXCWX+6J,Nada
"41.995503999999976,-108.05088",85HHXWWX+6J,Nada
"41.995503999999976,-107.55088",85HJXCWX+6J,Nada
"41.995503999999976,-107.05088",85HJXWWX+6J,Nada
"41.995503999999976,-106.55088",85HMXCWX+6J,Nada
"41.995503999999976,-106.05088",85HMXWWX+6J,Nada
"41.995503999999976,-105.55088",85HPXCWX+6J,Nada
"41.995503999999976,-105.05088",85HPXWWX+6J,Nada
"41.995503999999976,-104.55088",85HQXCWX+6J,Nada
"42.328503999999974,-114.05088",85J78WHX+CJ,Nada
"42.328503999999974,-113.55088",85J88CHX+CJ,Nada
"42.328503999999974,-113.05088",85J88WHX+CJ,Nada
"42.328503999999974,-112.55088",85J98CHX+CJ,Nada
"42.328503999999974,-112.05088",85J98WHX+CJ,Nada
"42.328503999999974,-111.55088",85JC8CHX+CJ,Nada
"42.328503999999974,-111.05088",85JC8WHX+CJ,Nada
"42.328503999999974,-110.55088",85JF8CHX+CJ,Nada
"42.328503999999974,-110.05088",85JF8WHX+CJ,Nada
"42.328503999999974,-109.55088",85JG8CHX+CJ,Nada
"42.328503999999974,-109.05088",85JG8WHX+CJ,Nada
"42.328503999999974,-108.55088",85JH8CHX+CJ,Nada
"42.328503999999974,-108.05088",85JH8WHX+CJ,Nada
"42.328503999999974,-107.55088",85JJ8CHX+CJ,Nada
"42.328503999999974,-107.05088",85JJ8WHX+CJ,Nada
"42.328503999999974,-106.55088",85JM8CHX+CJ,Nada
"42.328503999999974,-106.05088",85JM8WHX+CJ,Nada
"42.328503999999974,-105.55088",85JP8CHX+CJ,Nada
"42.328503999999974,-105.05088",85JP8WHX+CJ,Nada
"42.328503999999974,-104.55088",85JQ8CHX+CJ,Nada
"42.66150399999997,-114.05088",85J7MW6X+JJ,Nada
"42.66150399999997,-113.55088",85J8MC6X+JJ,Nada
"42.66150399999997,-113.05088",85J8MW6X+JJ,Nada
"42.66150399999997,-112.55088",85J9MC6X+JJ,Nada
"42.66150399999997,-112.05088",85J9MW6X+JJ,Nada
"42.66150399999997,-111.55088",85JCMC6X+JJ,Nada
"42.66150399999997,-111.05088",85JCMW6X+JJ,Nada
"42.66150399999997,-110.55088",85JFMC6X+JJ,Nada
"42.66150399999997,-110.05088",85JFMW6X+JJ,Nada
"42.66150399999997,-109.55088",85JGMC6X+JJ,Nada
"42.66150399999997,-109.05088",85JGMW6X+JJ,Nada
"42.66150399999997,-108.55088",85JHMC6X+JJ,Nada
"42.66150399999997,-108.05088",85JHMW6X+JJ,Nada
"42.66150399999997,-107.55088",85JJMC6X+JJ,Nada
"42.66150399999997,-107.05088",85JJMW6X+JJ,Nada
"42.66150399999997,-106.55088",85JMMC6X+JJ,Nada
"42.66150399999997,-106.05088",85JMMW6X+JJ,Nada
"42.66150399999997,-105.55088",85JPMC6X+JJ,Nada
"42.66150399999997,-105.05088",85JPMW6X+JJ,Nada
"42.66150399999997,-104.55088",85JQMC6X+JJ,Nada
"42.99450399999997,-114.05088",85J7XWVX+RJ,Nada
"42.99450399999997,-113.55088",85J8XCVX+RJ,Nada
"42.99450399999997,-113.05088",85J8XWVX+RJ,Nada
"42.99450399999997,-112.55088",85J9XCVX+RJ,Nada
"42.99450399999997,-112.05088",85J9XWVX+RJ,Nada
"42.99450399999997,-111.55088",85JCXCVX+RJ,Nada
"42.99450399999997,-111.05088",85JCXWVX+RJ,Nada
"42.99450399999997,-110.55088",85JFXCVX+RJ,Nada
"42.99450399999997,-110.05088",85JFXWVX+RJ,Nada
"42.99450399999997,-109.55088",85JGXCVX+RJ,Nada
"42.99450399999997,-109.05088",85JGXWVX+RJ,Nada
"42.99450399999997,-108.55088",85JHXCVX+RJ,Nada
"42.99450399999997,-108.05088",85JHXWVX+RJ,Nada
"42.99450399999997,-107.55088",85JJXCVX+RJ,Nada
"42.99450399999997,-107.05088",85JJXWVX+RJ,Nada
"42.99450399999997,-106.55088",85JMXCVX+RJ,Nada
"42.99450399999997,-106.05088",85JMXWVX+RJ,Nada
"42.99450399999997,-105.55088",85JPXCVX+RJ,Nada
"42.99450399999997,-105.05088",85JPXWVX+RJ,Nada
"42.99450399999997,-104.55088",85JQXCVX+RJ,Nada
"43.32750399999997,-114.05088",85M78WHX+2J,Nada
"43.32750399999997,-113.55088",85M88CHX+2J,Nada
"43.32750399999997,-113.05088",85M88WHX+2J,Nada
"43.32750399999997,-112.55088",85M98CHX+2J,Nada
"43.32750399999997,-112.05088",85M98WHX+2J,Nada
"43.32750399999997,-111.55088",85MC8CHX+2J,Nada
"43.32750399999997,-111.05088",85MC8WHX+2J,Nada
"43.32750399999997,-110.55088",85MF8CHX+2J,Nada
"43.32750399999997,-110.05088",85MF8WHX+2J,Nada
"43.32750399999997,-109.55088",85MG8CHX+2J,Nada
"43.32750399999997,-109.05088",85MG8WHX+2J,Nada
"43.32750399999997,-108.55088",85MH8CHX+2J,Nada
"43.32750399999997,-108.05088",85MH8WHX+2J,Nada
"43.32750399999997,-107.55088",85MJ8CHX+2J,Nada
"43.32750399999997,-107.05088",85MJ8WHX+2J,Nada
"43.32750399999997,-106.55088",85MM8CHX+2J,Nada
"43.32750399999997,-106.05088",85MM8WHX+2J,Nada
"43.32750399999997,-105.55088",85MP8CHX+2J,Nada
"43.32750399999997,-105.05088",85MP8WHX+2J,Nada
"43.32750399999997,-104.55088",85MQ8CHX+2J,Nada
"43.66050399999997,-114.05088",85M7MW6X+6J,Nada
"43.66050399999997,-113.55088",85M8MC6X+6J,Nada
"43.66050399999997,-113.05088",85M8MW6X+6J,Nada
"43.66050399999997,-112.55088",85M9MC6X+6J,Nada
"43.66050399999997,-112.05088",85M9MW6X+6J,Nada
"43.66050399999997,-111.55088",85MCMC6X+6J,Nada
"43.66050399999997,-111.05088",85MCMW6X+6J,Nada
"43.66050399999997,-110.55088",85MFMC6X+6J,Nada
"43.66050399999997,-110.05088",85MFMW6X+6J,Nada
"43.66050399999997,-109.55088",85MGMC6X+6J,Nada
"43.66050399999997,-109.05088",85MGMW6X+6J,Nada
"43.66050399999997,-108.55088",85MHMC6X+6J,Nada
"43.66050399999997,-108.05088",85MHMW6X+6J,Nada
"43.66050399999997,-107.55088",85MJMC6X+6J,Nada
"43.66050399999997,-107.05088",85MJMW6X+6J,Nada
"43.66050399999997,-106.55088",85MMMC6X+6J,Nada
"43.66050399999997,-106.05088",85MMMW6X+6J,Nada
"43.66050399999997,-105.55088",85MPMC6X+6J,Nada
"43.66050399999997,-105.05088",85MPMW6X+6J,Nada
"43.66050399999997,-104.55088",85MQMC6X+6J,Nada
"43.993503999999966,-114.05088",85M7XWVX+CJ,Nada
"43.993503999999966,-113.55088",85M8XCVX+CJ,Nada
"43.993503999999966,-113.05088",85M8XWVX+CJ,Nada
"43.993503999999966,-112.55088",85M9XCVX+CJ,Nada
"43.993503999999966,-112.05088",85M9XWVX+CJ,Nada
"43.993503999999966,-111.55088",85MCXCVX+CJ,Nada
"43.993503999999966,-111.05088",85MCXWVX+CJ,Nada
"43.993503999999966,-110.55088",85MFXCVX+CJ,Nada
"43.993503999999966,-110.05088",85MFXWVX+CJ,Nada
"43.993503999999966,-109.55088",85MGXCVX+CJ,Nada
"43.993503999999966,-109.05088",85MGXWVX+CJ,Nada
"43.993503999999966,-108.55088",85MHXCVX+CJ,Nada
"43.993503999999966,-108.05088",85MHXWVX+CJ,Nada
"43.993503999999966,-107.55088",85MJXCVX+CJ,Nada
"43.993503999999966,-107.05088",85MJXWVX+CJ,Nada
"43.993503999999966,-106.55088",85MMXCVX+CJ,Nada
"43.993503999999966,-106.05088",85MMXWVX+CJ,Nada
"43.993503999999966,-105.55088",85MPXCVX+CJ,Nada
"43.993503999999966,-105.05088",85MPXWVX+CJ,Nada
"43.993503999999966,-104.55088",85MQXCVX+CJ,Nada
"44.326503999999964,-114.05088",85P78WGX+JJ,Nada
